age,income,transactions,score,category
35.0,44473.82828939039,16.0,0.4947349580599826,B
30.0,59818.73023817599,11.0,0.714893317908935,A
32.0,56839.64978455265,14.0,0.48570127142595143,B
45.0,41761.63613843804,17.0,0.7635989904132198,A
40.0,36547.83078196968,11.0,0.9315961316089859,A
48.0,,10.0,0.5816874168042913,A
33.0,54735.71426673033,19.0,0.2711184763788887,B
28.0,44665.795775290055,12.0,0.5177890600132765,A
33.0,58557.31594615002,14.0,0.7847812701433955,A
37.0,76920.28286023953,,,C
37.0,,13.0,0.6373370398012544,A
24.0,37550.41965145011,11.0,0.7513002533932258,A
36.0,46156.703371570984,5.0,0.6726680158872633,A
37.0,81917.68300080493,15.0,0.7826587781176704,A
60.0,64238.80474378945,9.0,,B
21.0,17288.220842707793,18.0,0.9715863131286424,A
26.0,42897.58621310654,11.0,0.6538194125859381,A
,43206.961870942105,14.0,0.7357889102240932,C
20.0,66717.20575084066,20.0,0.5539309390371322,C
,60874.1149640317,,0.509780878266149,B
38.0,68231.0822829619,22.0,0.856015146062846,C
47.0,57184.93513607322,9.0,0.6324307014484032,C
28.0,,11.0,0.7207320848793568,A
,,15.0,0.6185610021617085,B
14.0,71666.51083627388,19.0,0.5120226523620053,B
33.0,72105.12422916706,12.0,0.6016474338873602,A
24.0,35701.920084123456,14.0,0.8153991026651571,A
30.0,26290.971669887163,20.0,,A
26.0,75026.1809647726,17.0,0.34327902604043115,B
34.0,77815.87639892905,12.0,,B
17.0,44690.65470729994,20.0,0.8673440689057068,B
20.0,32102.46890181557,16.0,0.5679304707225066,A
56.0,61485.52231510801,10.0,0.3299281962398729,A
22.0,,14.0,0.8839573328133815,A
,86963.91783651472,15.0,0.7023588764719189,B
53.0,,12.0,0.58949807117808,C
64.0,,12.0,,C
23.0,46603.04067622706,15.0,,C
31.0,60171.76937505982,14.0,,C
38.0,55511.029441721155,21.0,0.7722384636773982,C
52.0,,18.0,0.6813292928586384,A
25.0,90731.3347629493,15.0,0.6367022888231024,A
33.0,86777.52603108197,17.0,,A
43.0,77040.73025333142,14.0,0.5737547944928733,A
39.0,46187.244032863084,12.0,0.7568460180313898,A
31.0,72825.28986445918,20.0,0.47019857518472485,A
34.0,69594.39614246853,18.0,,C
21.0,66638.18436306079,16.0,0.6921660184338712,A
33.0,78744.97900565666,19.0,0.6946857492100721,C
32.0,69530.56714291916,11.0,0.672036172876765,B
37.0,71100.21354456503,16.0,,B
29.0,69553.59425058315,,0.5519189432493679,B
40.0,65111.87112003159,20.0,0.7181224056578288,A
45.0,,14.0,,B
37.0,61254.31616115836,12.0,0.5269329658777233,A
39.0,206628.48246905248,11.0,0.55321630316169,C
36.0,163209.54254159878,18.0,0.9030959548163748,A
,85227.24928951236,12.0,,A
,85934.93011328555,24.0,0.6749682156443698,B
38.0,80388.30900443418,17.0,0.3481334358564424,B
,63828.20125283812,15.0,,A
56.0,80259.37681428985,14.0,0.5349558772268719,B
21.0,14362.895120820824,19.0,0.9453710640462242,A
39.0,63041.95915346669,16.0,0.6583556385650644,B
27.0,43597.92944307026,22.0,0.5429942906711706,A
24.0,65954.8695674826,11.0,0.2851190486158134,A
47.0,60905.78892636626,9.0,,A
38.0,40460.21824748303,8.0,0.8152509266983402,A
40.0,59232.043322751044,19.0,0.8235186513444858,A
18.0,58804.056542147875,18.0,0.6538434660977206,A
44.0,86963.4174996696,20.0,0.6069087207865673,A
40.0,73413.19992770115,15.0,0.7992234931343695,A
24.0,60171.68158637199,14.0,0.8523575378010146,B
30.0,63731.80964701624,15.0,0.7700353054313437,A
38.0,60663.18567156297,19.0,0.4587693596655298,B
,56956.290228066784,10.0,0.6302017279822383,C
32.0,43763.592039175695,19.0,0.6659274216437143,A
34.0,57734.22183589606,13.0,0.3285574546624156,C
32.0,48808.5261502123,12.0,,A
37.0,41245.2669161528,12.0,0.9409487738969083,A
,67668.32721821302,16.0,0.6959904248701186,B
9.0,65868.96989899852,16.0,0.8210119622162634,B
,,17.0,0.6274372095193057,C
37.0,58159.73043757309,17.0,0.5890172514024268,A
38.0,74935.52078849885,14.0,,B
31.0,75888.35608344481,9.0,,A
17.0,75387.55264327858,14.0,0.45543372191484166,A
38.0,60583.6981035219,12.0,0.7899456835754048,A
52.0,47324.320080462734,15.0,0.8058513514299777,C
20.0,43744.51758962909,15.0,0.4513340526618974,A
44.0,,,0.7451998206830797,C
32.0,65689.20051547745,,0.5869560036590968,B
34.0,79309.96667407599,8.0,0.6509712861735646,B
24.0,76499.69475513126,15.0,0.6690327959152595,B
32.0,58016.57015203242,15.0,,C
,,25.0,,A
41.0,55213.40104483653,11.0,0.8115242992952904,A
52.0,63258.46792215787,9.0,0.6464119259639887,B
47.0,56968.75131915894,14.0,0.6936276408704298,A
39.0,51331.588378835164,18.0,0.475010611269413,A
52.0,63793.272224548484,16.0,0.9237988516057251,A
39.0,52440.63387884085,,0.6704737384807449,A
43.0,50579.00874411939,16.0,0.7069496138017649,A
32.0,,17.0,0.35877212831826877,A
36.0,53970.11129806193,18.0,0.4765946965381348,C
,63661.56583467528,21.0,0.7856825531878096,A
45.0,64098.06034278184,12.0,0.6430336677438907,C
23.0,42908.56498362638,12.0,,C
21.0,20198.725672312605,15.0,0.9788162519600853,A
33.0,,11.0,0.5184325793470914,B
47.0,,19.0,0.8116975478815067,B
43.0,28250.183265442036,,0.586824648209445,B
,32072.322701362325,13.0,0.6307060029030794,A
42.0,60436.64919865004,,0.7768431867887472,A
19.0,60463.759170490484,17.0,0.46537605437180063,A
34.0,58235.837168623184,18.0,0.45107297882490904,B
,78212.84743392753,13.0,0.5705252369402839,C
30.0,19907.48350345593,11.0,0.7240759199431833,B
50.0,65939.00811646236,14.0,0.40036841210797636,B
41.0,83421.5730270536,18.0,,C
28.0,43083.288526624296,11.0,0.7235581390565688,B
25.0,54302.902323151575,12.0,0.5095532531149494,A
35.0,48706.62124157068,7.0,0.5411660980619575,C
23.0,46584.809308837066,10.0,0.3214784397089751,A
28.0,55106.0699246544,14.0,0.49815310284720266,A
38.0,,21.0,0.5988649055053273,B
47.0,,16.0,0.7395566786434338,C
41.0,54960.911624397784,11.0,0.48431547506480416,A
12.0,88575.90321096705,18.0,0.8486064180348745,A
38.0,60533.64715476937,24.0,0.4973165963730299,A
,86305.36540051621,13.0,0.4975362297622238,A
39.0,58600.520255197625,,0.8306036327846703,A
51.0,61965.86739069216,6.0,,B
14.0,65482.11708964252,18.0,0.5171962906482634,C
29.0,107682.80519051303,14.0,0.5767300303229109,A
,72769.28362267184,16.0,,A
19.0,49391.03205072805,19.0,,A
50.0,74534.96805413786,9.0,0.4774810231094616,A
39.0,54572.51194373488,16.0,0.5936349284881337,B
43.0,,,0.6135235241501359,B
29.0,73629.02039838166,14.0,,B
43.0,60466.283816567295,11.0,0.5916472421025009,A
46.0,64178.638717677095,22.0,0.600798429067755,B
37.0,60209.77832797939,22.0,0.7710314218405103,A
37.0,65048.74689908152,16.0,0.7811137542466802,A
38.0,66374.48846154223,14.0,0.5506185902461488,C
26.0,30945.49600941877,10.0,,B
,69998.590029143,20.0,,C
33.0,45269.70870254549,15.0,0.5122217326609483,C
39.0,153462.05186643533,93.0,0.6882960227606104,B
45.0,59123.83134211976,11.0,0.5868140268946178,C
24.0,61259.71504971681,,0.4545902133392069,A
34.0,49597.40753141579,13.0,0.456474493068053,A
,72465.47786501961,12.0,0.8170588044046653,A
28.0,39867.3725044364,22.0,0.5765367781285052,A
27.0,53895.843768411614,10.0,0.8460531140847466,A
37.0,51226.88797600499,17.0,0.5229545608927635,A
43.0,59301.19094490991,8.0,0.643680780169724,B
35.0,64182.96426970858,18.0,0.9589015084527361,B
48.0,44881.60575564683,13.0,0.4413919883005081,B
44.0,70864.24016184342,15.0,0.3153278250150335,A
43.0,60945.035525020496,17.0,0.7929885196930849,B
41.0,31620.80620032134,,0.4759786341910389,A
58.0,30621.128394044536,,0.5968940453840649,A
33.0,59815.21060606033,17.0,,A
15.0,56685.49023320469,12.0,0.6402244171432974,A
51.0,58448.6982963805,14.0,0.45741956892213864,A
30.0,59580.26315204673,15.0,,C
,63383.39759265271,13.0,0.6674722989834802,B
48.0,74214.7441477245,9.0,0.44875366705886066,B
19.0,43333.426486236625,,0.49498739555311666,A
22.0,42420.42610648808,14.0,0.5478925749602203,C
19.0,,,0.38567768486605825,B
27.0,64333.7500075306,16.0,0.5366158525801881,A
39.0,78674.21067969668,,0.6178194809854353,B
40.0,53529.908426407346,14.0,0.5400676587617357,A
38.0,22474.502337605183,,0.5592935260602413,A
21.0,,19.0,,A
12.0,,6.0,0.5016384806351529,B
36.0,,15.0,0.7036593848800315,A
30.0,53874.17059117911,20.0,,A
40.0,,15.0,0.5303429411706827,A
42.0,55323.80503766329,12.0,0.672779734721656,C
36.0,,9.0,0.564057426684803,A
43.0,49859.74041477947,,0.6548231017557757,A
37.0,47065.230607866855,27.0,0.8348669296804881,A
40.0,,15.0,0.6762989314527148,C
28.0,36965.36895110821,14.0,0.33398781917854786,B
33.0,65845.37557980003,20.0,,C
37.0,61538.297755894004,,0.7849295614963514,A
43.0,57788.362651227486,,0.5667605745002846,A
31.0,83824.14160723894,11.0,0.7493452209176749,B
40.0,50666.88832057923,12.0,0.4964826688272081,A
32.0,90904.47255786118,13.0,0.3771691260716589,C
34.0,56618.52826157851,15.0,0.621175352824896,C
43.0,40844.75332544658,20.0,0.3365284918880529,A
,61048.79371492238,13.0,0.5640343480659612,C
22.0,43856.32199521847,15.0,0.7930263393968254,B
20.0,48723.66228279749,12.0,0.3135355641380579,A
12.0,65955.49950023237,10.0,0.4080754806129153,A
28.0,68333.73132975187,22.0,0.44519516322576336,A
42.0,50667.48449618612,17.0,0.590502021043356,C
32.0,74811.077175696,10.0,0.5451424821530686,A
,77362.616370317,15.0,0.8098704572544131,A
46.0,81544.52634844936,16.0,0.7431522493637546,B
48.0,67941.20110688583,22.0,0.6742909419102897,A
34.0,,5.0,0.6218445471515827,A
,31788.023580389134,12.0,0.658984466547724,B
19.0,18796.585947349417,11.0,0.9491640554424897,A
,46994.92115514861,14.0,0.7285815530334918,A
29.0,61788.387916910884,13.0,0.4331933618461198,A
20.0,,22.0,,A
26.0,57507.632370754014,15.0,0.7779213753178247,A
,,18.0,0.631629690313213,B
43.0,57454.20305369433,14.0,0.5735680411557036,C
19.0,21244.124381811438,19.0,0.9548290431920485,A
21.0,56515.96005113647,22.0,0.17077224448489903,C
39.0,61135.699319352505,9.0,0.6453387327728192,B
25.0,,19.0,0.582996900324029,B
40.0,66724.8609895974,20.0,0.5924057830414513,B
34.0,77479.61303320766,12.0,0.7059798769346741,B
17.0,84710.90996404993,6.0,,C
44.0,64644.3012286375,12.0,,A
29.0,68843.20329053403,14.0,0.5787895993761932,B
30.0,42737.032362216494,,0.6101333226121236,A
24.0,234727.39545506277,95.0,0.6172400867371519,A
28.0,74104.34197325383,,0.6242879050927602,B
39.0,291958.1183050292,10.0,0.7559053567377829,A
33.0,63174.145991925754,16.0,0.43709481704487785,A
38.0,,19.0,0.6263550684247274,A
39.0,67361.50063490728,10.0,0.7934894547927361,A
48.0,78004.59387388983,11.0,0.3398082754594207,B
32.0,64340.387354356666,16.0,0.626947002117008,B
20.0,54664.52526643448,22.0,,A
46.0,65037.61885399536,16.0,0.5443934423290342,A
32.0,16041.084362208363,19.0,0.46427887451783667,A
46.0,65743.28604577575,15.0,,A
,5273.807621778244,17.0,0.8761883421640356,B
34.0,34148.048888918725,22.0,0.41033544582341797,B
38.0,66776.52901411476,,0.4245584996281759,A
55.0,67162.94005900194,16.0,0.40470981447547427,A
56.0,42563.568297901045,14.0,,C
36.0,49318.46937181592,14.0,0.5306490441718069,B
37.0,80558.11482921198,15.0,0.5961541409478488,A
46.0,52739.54802640986,9.0,0.539582558834064,A
27.0,93643.80468604478,13.0,,A
38.0,59971.202202354805,14.0,,C
35.0,66120.542653219,12.0,0.968736540860484,A
38.0,84253.11597747912,8.0,0.8088106381461382,A
27.0,61965.406742901294,17.0,0.47205932733115913,C
19.0,44964.840289637985,17.0,,B
14.0,58354.08822458565,23.0,0.47527158410004355,A
24.0,59465.83895714863,20.0,0.33354485417306684,A
30.0,39528.87521697652,13.0,0.7529266376496944,A
32.0,56162.51892988765,15.0,0.7740139269965326,B
54.0,48867.11859003845,7.0,0.7569078376571848,A
46.0,73865.36635781151,12.0,0.5295202126170641,C
25.0,60519.178112778834,11.0,0.574983639899702,C
38.0,55758.06376278645,16.0,,B
31.0,58407.271040661355,13.0,0.658724405602216,B
32.0,,18.0,0.5409543793054433,A
37.0,69252.2129953467,,0.3571392269822753,A
41.0,45004.31656995928,19.0,0.6170812791213018,B
32.0,44376.18551068092,14.0,0.761851445885417,A
46.0,76570.18823103796,9.0,0.4203617566448764,A
24.0,53814.94691692904,10.0,0.6958139072513965,A
35.0,38747.368611046884,15.0,0.6497312542700538,A
61.0,66657.19064074657,20.0,0.71252223948485,A
37.0,66950.5470904903,16.0,0.7307963249578511,B
49.0,37039.2711411494,17.0,0.49583021371119707,C
,63442.225731954095,11.0,,B
41.0,71033.7463864256,17.0,0.519972071147568,C
34.0,65615.79677559395,,0.7333690976290511,A
33.0,69479.72225642094,,0.5186994144711043,C
27.0,38935.963528638764,13.0,,B
,64965.602324942935,6.0,0.32679744871130423,A
26.0,,18.0,0.8628971331826408,C
42.0,52758.14761913033,15.0,,A
46.0,73058.3341412959,13.0,0.7154843971912146,A
39.0,82189.11766011345,14.0,0.745158808016921,A
32.0,86915.55081900538,8.0,0.6865062542315102,A
40.0,,11.0,0.5633506717230706,A
32.0,58353.987275547246,12.0,0.5754353843816697,B
44.0,65290.802445395144,,0.5358653453111812,C
17.0,71502.34307676366,22.0,0.99521111316225,A
32.0,61817.66923949193,8.0,0.6833868046949163,B
15.0,61961.462818673164,8.0,0.5304299337972848,A
20.0,72356.29697814272,11.0,,C
